id,day,start_ts,end_ts,timezone_offset,nap,score_state,total_in_bed_milli,total_awake_milli,total_light_milli,total_sws_milli,total_rem_milli,total_no_data_milli,sleep_cycle_count,disturbance_count,need_baseline_milli,need_from_debt_milli,need_from_strain_milli,need_from_nap_milli,respiratory_rate,sleep_performance_pct,sleep_consistency_pct,sleep_efficiency_pct,updated_at
6c02d463-75c5-40f8-af8f-7715207ebca8,2026-07-08,2026-07-08T07:53:44.630Z,2026-07-08T15:34:39.620Z,-07:00,0,SCORED,27654990.0,2104200.0,11458270.0,5050130.0,9042390.0,0.0,5,12,27267374.0,5368310.0,376833.0,0.0,17.226562,84.0,83.0,92.39124,2026-07-08T15:47:15.522Z
6a448d0a-e8da-4d9a-b19e-05beb2cee104,2026-07-07,2026-07-07T07:35:14.010Z,2026-07-07T15:35:10.870Z,-07:00,0,SCORED,28796860.0,1950150.0,14172250.0,5738220.0,6936240.0,0.0,5,15,27267511.0,7668000.0,261904.0,0.0,17.695312,81.0,72.0,93.227905,2026-07-07T15:55:41.622Z
adc4f8c3-6587-4796-aa5f-0bd89eb7af88,2026-07-06,2026-07-06T09:11:43.310Z,2026-07-06T15:46:56.270Z,-07:00,0,SCORED,23712960.0,2100050.0,12609580.0,3361100.0,5642230.0,0.0,6,12,27267647.0,5845084.0,475345.0,0.0,17.34375,78.0,81.0,91.14387,2026-07-06T15:55:28.881Z
66526225-a569-4663-bf7e-041d11e31124,2026-07-05,2026-07-05T08:49:34.410Z,2026-07-05T16:19:46.340Z,-07:00,0,SCORED,27011930.0,2947100.0,14717560.0,2827040.0,6520230.0,0.0,4,12,27267783.0,3762549.0,2126851.0,0.0,17.402344,77.0,74.0,89.08964,2026-07-05T16:28:39.267Z
f8325957-a1c6-481f-a3b6-f7bd96a34916,2026-07-04,2026-07-04T09:18:00.270Z,2026-07-04T18:14:51.190Z,-07:00,0,SCORED,32210920.0,5288080.0,17708600.0,4233090.0,4981150.0,0.0,5,10,27267919.0,6578196.0,601823.0,0.0,17.109375,73.0,57.0,83.90335,2026-07-04T19:44:27.234Z
ef76b224-9238-4924-b60e-e13cc7edfe79,2026-07-03,2026-07-03T08:58:29.650Z,2026-07-03T16:26:33.590Z,-07:00,0,SCORED,26883940.0,1980050.0,12865470.0,4382140.0,7656280.0,0.0,7,11,27268056.0,7668000.0,200584.0,0.0,16.933594,79.0,67.0,92.63482,2026-07-03T16:49:30.417Z
adf1eddb-346f-402d-95e4-45f5daeab498,2026-07-02,2026-07-02T07:57:29.320Z,2026-07-02T13:47:23.020Z,-07:00,0,SCORED,20993700.0,1712000.0,8916380.0,5231120.0,5134200.0,0.0,3,8,27268192.0,7668000.0,310516.0,0.0,16.582031,68.0,77.0,91.84517,2026-07-02T13:57:47.023Z
50830baf-fbde-481c-b6bb-1ebd60ac7205,2026-07-01,2026-07-01T07:42:29.730Z,2026-07-01T15:28:00.660Z,-07:00,0,SCORED,27930930.0,3314200.0,11759260.0,5047200.0,7810270.0,0.0,6,7,27268328.0,5844933.0,4490781.0,0.0,16.992188,81.0,90.0,89.51235,2026-07-01T15:46:21.219Z
a74900b7-554b-4739-bcb5-b0229f31f2b4,2026-06-30,2026-06-30T07:30:56.560Z,2026-06-30T15:12:29.560Z,-07:00,0,SCORED,27693000.0,2344270.0,13972470.0,4953190.0,6423070.0,0.0,7,11,27268465.0,6740326.0,432056.0,0.0,16.992188,86.0,89.0,91.53479,2026-06-30T16:27:45.791Z
c842d177-7f2c-4322-a532-7c32cfac857a,2026-06-29,2026-06-29T08:35:56.090Z,2026-06-29T15:21:38.870Z,-07:00,0,SCORED,24342780.0,4205130.0,11037490.0,3452040.0,5648120.0,0.0,3,11,27268601.0,3041226.0,312774.0,0.0,17.167969,75.0,82.0,82.72535,2026-06-29T15:33:13.775Z
28645e92-5305-47a0-bd01-55087b8a212a,2026-06-28,2026-06-28T07:04:33.820Z,2026-06-28T15:23:21.580Z,-07:00,0,SCORED,29927760.0,4056980.0,13339540.0,6762070.0,5769170.0,0.0,4,11,27268738.0,2491158.0,841679.0,0.0,16.757812,81.0,81.0,86.44409,2026-06-28T15:37:44.085Z
1e0876dc-93a3-4495-924a-78e35df1944c,2026-06-27,2026-06-27T07:24:08.900Z,2026-06-27T16:22:53.090Z,-07:00,0,SCORED,32324190.0,2642200.0,17665680.0,4627060.0,7389250.0,0.0,6,16,27268874.0,6114112.0,174139.0,0.0,16.826172,83.0,72.0,91.988144,2026-06-27T16:46:14.415Z
fe555688-13d3-421f-9bd7-70972491348d,2026-06-26,2026-06-26T07:48:05.570Z,2026-06-26T15:23:52.590Z,-07:00,0,SCORED,27347020.0,1338170.0,14615510.0,4087110.0,7306230.0,0.0,5,9,27269011.0,7668000.0,582680.0,0.0,16.699219,81.0,76.0,95.69109,2026-06-26T15:48:52.531Z
6076e9e4-cdad-4137-9668-cd62d19632e1,2026-06-25,2026-06-25T08:56:35.200Z,2026-06-25T15:08:08.940Z,-07:00,0,SCORED,22293740.0,2245110.0,8386310.0,4661130.0,7001190.0,0.0,5,9,27269148.0,7668000.0,588948.0,0.0,17.34375,67.0,79.0,90.624535,2026-06-25T15:17:15.715Z
e4b18ad5-79c2-427d-b314-415508c9de5e,2026-06-24,2026-06-24T08:12:01.360Z,2026-06-24T14:26:04.150Z,-07:00,0,SCORED,22442790.0,1351000.0,8921380.0,5350070.0,6820340.0,0.0,5,3,27269284.0,7668000.0,547866.0,0.0,15.527344,72.0,72.0,93.98025,2026-06-24T14:59:32.381Z
6dd04367-5983-4e08-9416-3e90b6723248,2026-06-23,2026-06-23T10:24:36.910Z,2026-06-23T14:52:18.600Z,-07:00,0,SCORED,16061690.0,931990.0,6749380.0,4744240.0,3636080.0,0.0,4,8,27269421.0,7668000.0,160380.0,0.0,16.875,47.0,64.0,94.19743,2026-06-23T15:14:03.781Z
033377f9-eeab-4c70-bc93-a2210683253c,2026-06-22,2026-06-22T09:10:06.220Z,2026-06-22T14:19:49.890Z,-07:00,0,SCORED,18583670.0,3110220.0,7089120.0,3243100.0,5141230.0,0.0,5,5,27269558.0,7005672.0,488398.0,0.0,17.050781,45.0,65.0,83.882126,2026-06-22T14:36:24.371Z
